 Macau (China)	18,534
 Monaco	16,923
 Singapore	7,148
 Hong Kong (China)	6,349
 Gibraltar (UK)	4,559
 Vatican City	1,877
 Bahrain	1,646
 Malta	1,322
 Bermuda (UK)	1,226
 Sint Maarten (Netherlands)	1,101
 Maldives	1,037
 Bangladesh	964
 Jersey (UK)	844
 Guernsey (UK)	843
 Saint-Martin (France)	663
 Republic of China (Taiwan)	639
 Mauritius	631
 Barbados	595
 Aruba (Netherlands)	554
 Palestinian territories	681
 San Marino	505
 Mayotte (France)	499
 South Korea	487
 Nauru	444
 Puerto Rico (US)	449
 Curaçao (Netherlands)	446
 Lebanon	404
 Saint-Barthélemy (France)	402
 Tuvalu	402
 Netherlands	411
 Rwanda	380
 Israel	371
 India	368
 Haiti	362
 Martinique (France)	356
 Belgium	355
 Marshall Islands	343
 Japan	337
 American Samoa (US)	337
 Guam (US)	324
 Saint Lucia	319
 United States Virgin Islands (US)	317
 Réunion (France)	313
 Sri Lanka	308
 Philippines	307
 Comoros	302
 Grenada	302
 Burundi	298
 El Salvador	293
 Saint Vincent and the Grenadines	281
 Trinidad and Tobago	261
 Vietnam	259
 United Kingdom	255
 Guadeloupe (France)	249
 Jamaica	247
 Germany	229
 Liechtenstein	225
 Cayman Islands (UK)	212
flag Pakistan	238
 Dominican Republic	207
 Kuwait	200
 Italy	200
 North Korea	200
 Nepal	199
 Saint Kitts and Nevis	199
 Antigua and Barbuda	199
 Luxembourg	194
 Switzerland	188
 Northern Mariana Islands (US)	188
 Seychelles	185
 Andorra	184
 Sao Tome and Principe	169
 Nigeria	167
 Anguilla (UK)	165
 Federated States of Micronesia	158
 British Virgin Islands (UK)	152
 The Gambia	151
 Isle of Man (UK)	140
 Tonga	139
flag China	143
 Kiribati	137
 Uganda	136
 Transnistria (Moldova)	133
 Czech Republic	134
 Guatemala	129
 Malawi	129
 Qatar	128
 Denmark	128
 Cape Verde	126
 Thailand	125
 Poland	122
 Indonesia	121
 Moldova	105
 Syria	118
 Togo	117
 Portugal	115
 Tokelau (New Zealand)	115
 France (Metropolitan)	114
 Slovakia	111
 Albania	111
 Armenia	108
 Hungary	108
 Azerbaijan	106
 Dominica	105
 Slovenia	106
 Cuba	102
 Serbia (excluding Kosovo)	101
 Ghana	100
 Austria	100
 United Arab Emirates	99
 Turkey	93
 Spain	91
 Romania	90
 Costa Rica	90
 Cyprus	87
 Malaysia	86
 Northern Cyprus (status disputed)	86
 Greece	86
 Cook Islands (New Zealand)	85
 Republic of Macedonia	82
 Cambodia	82
 Sierra Leone	79
 Benin	79
 Turks and Caicos Islands (UK)	79
 Croatia	79
 Ukraine	78
 Egypt	87
 Wallis and Futuna (France)	77
 East Timor	76
 Burma (Myanmar)	74
 Bosnia and Herzegovina	75
 Ethiopia	72
 Morocco	75
 Jordan	71
 Iraq	70
 Brunei	69
 Kenya	69
 Swaziland	68
 Lesotho	68
 Bulgaria	66
 Honduras	66
 Côte d'Ivoire	65
 Ireland	65
 Samoa	65
 French Polynesia (France)	64
 Georgia	64
 Senegal	64
 Tunisia	63
 Uzbekistan	61
 Montserrat (UK)	58
 Burkina Faso	58
 Mexico	57
 Ecuador	55
 Tajikistan	49
 Belarus	47
 Lithuania	47
 Fiji	46
 Tanzania	46
 Bhutan	46
 Afghanistan	46
 Panama	46
 Iran	45
 Montenegro	45
 Yemen	45
 Guinea-Bissau	45
 Nicaragua	44
 Palau	44
 Eritrea	43
 South Africa	41
 Cameroon	41
 Guinea	41
 Saint Helena (UK)	40
 Colombia	42
 Djibouti	37
 Madagascar	35
 Faroe Islands (Denmark)	35
 Latvia	35
 Zimbabwe	33
flag United States	33
 Liberia	31
 Venezuela	34
 Estonia	29
 Democratic Republic of the Congo	29
 Mozambique	29
 Abkhazia (Georgia; claims independence)	28
 Kyrgyzstan	27
 Laos	27
 Somaliland (Somalia; claims independence)	25
 Saint-Pierre and Miquelon (France)	25
 The Bahamas	25
 Equatorial Guinea	24
 Peru	23
 Brazil	24
 Chile	24
 Sweden	21
 Uruguay	20
 Vanuatu	20
 Solomon Islands	18
 South Ossetia (Georgia; claims independence)	18
 Sudan	17
 Zambia	17
 New Zealand	16
 Finland	16
 Paraguay	16
 Angola	15
 Algeria	15
 Papua New Guinea	15
 Argentina	14
 Somalia	14
 Belize	14
 Pitcairn Islands (UK)	13
 New Caledonia (France)	13
 Norway	13
 South Sudan	13
 Niger	12
 Saudi Arabia	12
 Mali	12
 Republic of the Congo	12
 Turkmenistan	10
 Oman	9.2
 Bolivia	9
 Chad	8.8
 Russia	8.3
 Niue (New Zealand)	7.7
 Central African Republic	7.1
 Kazakhstan	6.2
 Gabon	5.5
 Libya	3.6
 Guyana	3.5
 Canada	3.4
 Botswana	3.4
 Mauritania	3.2
 Suriname	3.2
 Iceland	3.1
 Australia	3.2
 Namibia	2.6
 French Guiana (France)	2.1
Western Sahara (status disputed)	1.9
 Mongolia	1.7
 Falkland Islands (United Kingdom)	0.26
 Greenland (Denmark)	0.026
